dish_name,dish_category
1RUB.Чипсы Lay’s сметана и зелень,прочее
Up Балтика №0 Безалкогольное Грейпфрут,Напитки
Up Балтика №0 Безалкогольное Светлое,Напитки
Балтика №0 Безалкогольное Грейпфрут,Напитки
Up Балтика 0 Грейпфрут Безалкогольное,Напитки
Чипсы Lay’s сметана и зелень,прочее
Балтика №0 Безалкогольное Светлое,Напитки
Кинг Фри мал,Закуски
Наггетсы (3 шт.),Закуски
Кинг Фри станд,Закуски
Соус Сырный,Соус
Кинг Фри бол,Закуски
Чизбургер,Бургер
Воппер,Бургер
Чикенбургер новый,Бургер
Сырные Медальоны (3 шт.),Закуски
Маффин,Десерт
Карт. Деревен. джун,Закуски
Наггетсы (6 шт.),Закуски
Воппер Джуниор,Бургер
Соус Кисло-сладкий,Соус
Гранд Чиз,Бургер
Гамбургер,Бургер
Чикен Тар-Тар,Бургер
Влажная салфетка,Дополнительно
Воппер Ролл,Ролл
"Липтон Грин Дж 0,3",Напитки
Луковые Кольца (3 шт.),Закуски
Наггетсы (9 шт.),Закуски
Шримп Ролл,Ролл
Ord.2 сырных соуса,Соус
Роял Фри new,Закуски
Соус Барбекю,Соус
Сырные Медальоны (6 шт.),Закуски
Цезарь Кинг новый,Бургер
Двойной Чизбургер,Бургер
Up Воппер Джуниор,Бургер
"Липтон Лимон Дж 0,3",Напитки
Горячий Брауни с мороженым,Десерт
Пиво Туборг Грин 0.5л розлив,Напитки
Рожок,Десерт
Гранд Чиз Фреш,Бургер
Соус Карри,Соус
"Липтон Грин мал 0,4",Напитки
Карт. Деревен. станд,Закуски
Сырный соус Пармеджано,Соус
Цезарь ролл со стрипсами,Ролл
Наггетсы (12 шт.),Закуски
Капучино (МАЛ.),Напитки
Up Воппер,Бургер
Соус 1000 островов,Соус
Пирожок с вишней,Десерт
ЧизБекон Гамбургер,Бургер
Кетчуп,Соус
Соус Чесночный,Соус
"Эвервесс Блэк Роял джун 0,3л",Напитки
Up Пирожок с вишней,Десерт
Соус Горчичный,Соус
"Эвервесс Кола мал 0,4",Напитки
"Эвервесс Кола джун 0,3л",Напитки
Воппер с сыром,Бургер
"Липтон Лимон мал 0,4",Напитки
Up Чикен Тар-Тар,Бургер
Ord.Сырный и Кисло-сладкий соусы,Соус
Соус Гриль Особый,Соус
"Эвервесс Блэк Роял мал 0,4",Напитки
АНГУС Шеф new,Бургер
Кофе (МАЛ.),Напитки
Карт. Деревен. мал,Закуски
Up Сандэй Шоколадный,Десерт
Капучино (БОЛ.),Напитки
"Up Липтон Зеленый Чай в бутылке 0,5л",Напитки
ЧизБекон Чикен Гамбургер,Бургер
Up Кинг Наггетс Стандартный,Закуски
Латте (МАЛ.),Напитки
"Эвервесс Апельсин джун 0,3л б/л",Напитки
